Source.Name;Column1;Emotion;Frame Count;ID
MLresult_vid1 No description.csv;0;Angry;7;1
MLresult_vid1 No description.csv;1;Fear;6;1
MLresult_vid1 No description.csv;2;Happy;33;1
MLresult_vid1 No description.csv;3;Neutral;90;1
MLresult_vid1 No description.csv;4;Sad;13;1
MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;0;Angry;66;2
MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;1;Disgust;1;2
MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;2;Fear;17;2
MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;3;Happy;205;2
MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;4;Neutral;100;2
MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;5;Sad;46;2
MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;6;Surprise;2;2
MLresult_vid3 This is puzzling.csv;0;Angry;17;3
MLresult_vid3 This is puzzling.csv;1;Disgust;4;3
MLresult_vid3 This is puzzling.csv;2;Fear;30;3
MLresult_vid3 This is puzzling.csv;3;Happy;70;3
MLresult_vid3 This is puzzling.csv;4;Neutral;135;3
MLresult_vid3 This is puzzling.csv;5;Sad;34;3
MLresult_vid3 This is puzzling.csv;6;Surprise;45;3
MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;0;Angry;3;4
MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;1;Disgust;2;4
MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;2;Fear;63;4
MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;3;Happy;85;4
MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;4;Neutral;42;4
MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;5;Sad;86;4
MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;6;Surprise;6;4
MLresult_vid5 Life isnt always as it seems @sofyank96.csv;0;Angry;26;5
MLresult_vid5 Life isnt always as it seems @sofyank96.csv;1;Fear;38;5
MLresult_vid5 Life isnt always as it seems @sofyank96.csv;2;Happy;231;5
MLresult_vid5 Life isnt always as it seems @sofyank96.csv;3;Neutral;230;5
MLresult_vid5 Life isnt always as it seems @sofyank96.csv;4;Sad;56;5
MLresult_vid5 Life isnt always as it seems @sofyank96.csv;5;Surprise;1;5
MLresult_vid6 spent the last 6 months making this, hope you enjoy the trailer. Watch the entire short film in my profile.csv;0;Angry;21;6
MLresult_vid6 spent the last 6 months making this, hope you enjoy the trailer. Watch the entire short film in my profile.csv;1;Fear;32;6
MLresult_vid6 spent the last 6 months making this, hope you enjoy the trailer. Watch the entire short film in my profile.csv;2;Happy;15;6
MLresult_vid6 spent the last 6 months making this, hope you enjoy the trailer. Watch the entire short film in my profile.csv;3;Neutral;44;6
MLresult_vid6 spent the last 6 months making this, hope you enjoy the trailer. Watch the entire short film in my profile.csv;4;Sad;15;6
MLresult_vid6 spent the last 6 months making this, hope you enjoy the trailer. Watch the entire short film in my profile.csv;5;Surprise;1;6
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
stats ori.xlsx;;;;7
